variant_id,T_K,I_peak,width,S_peak,kappa1,collapse_rmse
ip_max__w_rms__sp_max__sc_rms,12,35,7.58944959696181,0.232986037937288,NaN,0.0628890042769324
ip_max__w_rms__sp_max__sc_rms,14,35,7.60126970671822,0.192544819951381,NaN,0.069645918300654
ip_max__w_rms__sp_max__sc_rms,16,35,7.64528156331271,0.162443432649134,NaN,0.0658392897784458
ip_max__w_rms__sp_max__sc_rms,18,35,7.40068234592266,0.142095227831458,NaN,0.0645240699569186
ip_max__w_rms__sp_max__sc_rms,20,35,7.44628935345436,0.118297407736058,NaN,0.0466653037440298
ip_max__w_rms__sp_max__sc_rms,22,30,7.19238059895516,0.0848252860423066,0.407121388924087,0.194797208048393
ip_max__w_rms__sp_max__sc_rms,24,30,6.76709591522856,0.0930645821294685,0.0301449152821344,0.0837475773484403
ip_max__w_rms__sp_max__sc_rms,26,30,6.16925405449728,0.0732255508855988,-0.335594116083317,0.161780952137188
ip_max__w_rms__sp_max__sc_rms,28,25,5.61354498833746,0.0809671274875996,-0.0236751043177804,0.0850818643686243
ip_max__w_rms__sp_max__sc_rms,30,20,5.51684023494123,0.0879097809338481,NaN,0.0814731335071315
ip_max__w_rms__sp_max__sc_rms,32,15,5.58735278841876,0.0695147785421419,-0.948570368121536,0.360459386823009
ip_max__w_rms__sp_max__sc_rms,34,30,2.35481370000717,0.00111194952316543,NaN,0.557911813198742
ip_max__w_rms__sp_max__sc_asymmetric,4,35,8.06244370347118,0.349600045040287,0.0323150650416407,0.0357839337450037
ip_max__w_rms__sp_max__sc_asymmetric,6,35,8.00603915807115,0.341950817738385,-0.0249106582627877,0.0278457684240133
ip_max__w_rms__sp_max__sc_asymmetric,8,35,7.85061460579741,0.311011499245369,-0.131057476216942,0.0255337652163315
ip_max__w_rms__sp_max__sc_asymmetric,10,35,7.73708119613796,0.265625424732821,-0.181469230446445,0.0243684692737843
ip_max__w_rms__sp_max__sc_asymmetric,12,35,7.58944959696181,0.232986037937288,NaN,0.0119178265173135
ip_max__w_rms__sp_max__sc_asymmetric,14,35,7.60126970671822,0.192544819951381,NaN,0.0256026375015624
ip_max__w_rms__sp_max__sc_asymmetric,16,35,7.64528156331271,0.162443432649134,NaN,0.0432039954935205
ip_max__w_rms__sp_max__sc_asymmetric,18,35,7.40068234592266,0.142095227831458,NaN,0.0452985413469352
ip_max__w_rms__sp_max__sc_asymmetric,20,35,7.44628935345436,0.118297407736058,NaN,0.0238675652399837
ip_max__w_rms__sp_max__sc_asymmetric,22,30,7.19238059895516,0.0848252860423066,0.369480900170859,0.081257066579108
ip_max__w_rms__sp_max__sc_asymmetric,24,30,6.76709591522856,0.0930645821294685,0.0500538599733902,0.0523024024407955
ip_max__w_rms__sp_max__sc_asymmetric,26,30,6.16925405449728,0.0732255508855988,NaN,0.079368219414836
ip_max__w_rms__sp_max__sc_asymmetric,28,25,5.61354498833746,0.0809671274875996,NaN,0.046173653957069
ip_max__w_rms__sp_max__sc_asymmetric,30,20,5.51684023494123,0.0879097809338481,NaN,0.0290327358027245
ip_max__w_rms__sp_max__sc_asymmetric,32,15,5.58735278841876,0.0695147785421419,NaN,0.0144438477467336
ip_max__w_rms__sp_max__sc_asymmetric,34,30,2.35481370000717,0.00111194952316543,NaN,0.213962901919927
ip_max__w_rms__sp_local_avg__sc_fwhm,4,35,8.06244370347118,0.289166891071462,0.472923706369929,0.349258807978066
ip_max__w_rms__sp_local_avg__sc_fwhm,6,35,8.00603915807115,0.279272791526239,0.43368284550758,0.325554537555871
ip_max__w_rms__sp_local_avg__sc_fwhm,8,35,7.85061460579741,0.244084879350048,0.35478004821715,0.275097146904105
ip_max__w_rms__sp_local_avg__sc_fwhm,10,35,7.73708119613796,0.201653947176535,0.141619530335241,0.229418237600678
ip_max__w_rms__sp_local_avg__sc_fwhm,12,35,7.58944959696181,0.168994037092579,0.140311549347005,0.237972114353419
ip_max__w_rms__sp_local_avg__sc_fwhm,14,35,7.60126970671822,0.135602469533866,0.142040481030656,0.226642672270349
ip_max__w_rms__sp_local_avg__sc_fwhm,16,35,7.64528156331271,0.109663353680607,0.108924829854646,0.212830925224841
ip_max__w_rms__sp_local_avg__sc_fwhm,18,35,7.40068234592266,0.093020592592334,0.0327570862105399,0.275884193376064
ip_max__w_rms__sp_local_avg__sc_fwhm,20,35,7.44628935345436,0.0789170268076045,-0.0052923933192277,0.150024892210608
ip_max__w_rms__sp_local_avg__sc_fwhm,22,30,7.19238059895516,0.0703805764109896,0.371265323350614,0.438281461434205
ip_max__w_rms__sp_local_avg__sc_fwhm,24,30,6.76709591522856,0.0659008764349502,0.588677796357489,0.545273968019861
ip_max__w_rms__sp_local_avg__sc_fwhm,26,30,6.16925405449728,0.0581615830410284,0.113158888837026,0.489268757835634
