x,T_4_000K,T_6_000K,T_8_000K,T_10_000K,T_12_000K,T_14_000K,T_16_000K,T_18_000K,T_20_000K,T_22_000K,T_24_000K,T_26_000K,T_28_000K,T_30_000K
0.00678390614554991,0.0511038469309213,0.0455630909316646,0.0367689806732965,0.0292907818287032,0.0269396017240731,0.0235851136096561,0.0193751535521341,0.0155416233891309,0.0107064539698086,0.00774766283069368,0.00220765665913256,-0.000735036507618834,-0.000582691267984897,0.0211140452617072
0.0125967726516178,0.0495388150014687,0.0438739202059018,0.0349251046786877,0.0276073790388307,0.0254878615115055,0.0223922705529485,0.0183689815549842,0.0146505978291261,0.00990932845568184,0.00763200785072598,0.00160581128787664,-0.00136486083068641,-0.00108197685395505,0.0203742312564021
0.0184096391576857,0.047973783072016,0.0421847494801391,0.0330812286840789,0.0259239762489582,0.024036121298938,0.0211994274962409,0.0173628095578343,0.0137595722691213,0.0091122029415551,0.00751635287075829,0.00100396591662073,-0.00199468515375396,-0.0015812624399252,0.0196344172510971
0.0242225056637537,0.0464087511425633,0.0404955787543763,0.0312373526894701,0.0242405734590856,0.0225843810863704,0.0200065844395332,0.0163566375606845,0.0128685467091164,0.00831507742742833,0.00740069789079059,0.000402120545364792,-0.00262450947682155,-0.00208054802589536,0.018894603245792
0.0300353721698216,0.0448437192131107,0.0388064080286136,0.0293934766948613,0.0225571706692131,0.0211326408738029,0.0188137413828256,0.0153504655635346,0.0119775211491116,0.00751795191330158,0.0072850429108229,-0.00019972482589112,-0.00325433379988911,-0.00257983361186551,0.0181547892404869
0.0358482386758896,0.043278687283658,0.0371172373028508,0.0275496007002525,0.0208737678793406,0.0196809006612354,0.017620898326118,0.0143442935663847,0.0110864955891068,0.00672082639917481,0.0071693879308552,-0.000801570197147056,-0.00388415812295669,-0.00307911919783567,0.0174149752351818
0.0416611051819574,0.0417136553542053,0.0354280665770881,0.0257057247056437,0.0191903650894681,0.0182291604486679,0.0164280552694103,0.0133381215692349,0.010195470029102,0.00592370088504807,0.0070537329508875,-0.00140341556840297,-0.00451398244602425,-0.00357840478380581,0.0166751612298767
0.0474739716880254,0.0401486234247527,0.0337388958513254,0.0238618487110349,0.0175069622995955,0.0167774202361003,0.0152352122127027,0.012331949572085,0.00930444446909713,0.00512657537092131,0.0069380779709198,-0.00200526093965889,-0.00514380676909182,-0.00407769036977597,0.0159353472245716
0.0532868381940933,0.0385835914953,0.0320497251255626,0.0220179727164261,0.015823559509723,0.0153256800235328,0.0140423691559951,0.0113257775749352,0.00841341890909231,0.00432944985679455,0.00682242299095211,-0.00260710631091482,-0.00577363109215939,-0.00457697595574612,0.0151955332192665
0.0590997047001612,0.0370185595658473,0.0303605543997999,0.0201740967218173,0.0141401567198505,0.0138739398109652,0.0128495260992874,0.0103196055777853,0.00752239334908748,0.0035323243426678,0.00670676801098441,-0.00320895168217074,-0.00640345541522696,-0.00507626154171628,0.0144557192139614
0.0649125712062292,0.0354535276363947,0.0286713836740371,0.0183302207272085,0.0124567539299779,0.0124221995983977,0.0116566830425798,0.00931343358063542,0.00663136778908265,0.00273519882854104,0.00659111303101672,-0.00381079705342666,-0.00703327973829454,-0.00557554712768643,0.0137159052086563
0.0707254377122971,0.033888495706942,0.0269822129482744,0.0164863447325997,0.0107733511401054,0.0109704593858302,0.0104638399858721,0.00830726158348556,0.00574034222907783,0.00193807331441428,0.00647545805104902,-0.00441264242468259,-0.00766310406136211,-0.00607483271365659,0.0129760912033512
0.076538304218365,0.0323234637774893,0.0252930422225116,0.0146424687379909,0.00908994835023288,0.00951871917326261,0.0092709969291645,0.00730108958633569,0.004849316669073,0.00114094780028752,0.00635980307108132,-0.00501448779593851,-0.00829292838442968,-0.00657411829962674,0.0122362771980461
0.082351170724433,0.0307584318480367,0.0236038714967489,0.0127985927433821,0.00740654556036035,0.00806697896069507,0.00807815387245687,0.00629491758918583,0.00395829110906818,0.000343822286160766,0.00624414809111362,-0.00561633316719444,-0.00892275270749725,-0.0070734038855969,0.011496463192741
0.0881640372305008,0.029193399918584,0.0219147007709862,0.0109547167487733,0.00572314277048785,0.00661523874812756,0.00688531081574925,0.00528874559203599,0.00306726554906337,-0.000453303227965975,0.00612849311114593,-0.00621817853845035,-0.00955257703056481,-0.00757268947156704,0.0107566491874359
0.0939769037365689,0.0276283679891313,0.0202255300452234,0.0091108407541645,0.00403973998061529,0.00516349853555999,0.00569246775904159,0.0042825735948861,0.00217623998905853,-0.00125042874209275,0.00601283813117823,-0.00682002390970628,-0.0101824013536324,-0.0080719750575372,0.0100168351821308
0.0997897702426367,0.0260633360596787,0.0185363593194607,0.00726696475955574,0.00235633719074279,0.00371175832299248,0.00449962470233397,0.00327640159773625,0.00128521442905372,-0.00204755425621949,0.00589718315121054,-0.0074218692809622,-0.0108122256767,-0.00857126064350735,0.00927702117682574
0.105602636748705,0.024498304130226,0.0168471885936979,0.0054230887649469,0.000672934400870226,0.00226001811042491,0.00330678164562631,0.00227022960058637,0.000394188869048875,-0.00284467977034626,0.00578152817124284,-0.00802371465221813,-0.0114420499997675,-0.00907054622947751,0.00853720717152063
