"row_type","item_path","run_id","execution_status_missing_before","report_missing_before","figures_manifest_missing_before","execution_status_written","execution_status_backfilled_value","report_written","report_target_path","figures_manifest_written","figures_detected_count","has_run_manifest","has_error_log","script_path_from_manifest","classification","used_in_runs","usage_count","strategy_reason","completed_after"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_225058_aging_component_clock_test","run_2026_03_12_225058_aging_component_clock_test","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_225058_aging_component_clock_test\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_225559_aging_time_rescaling_collapse","run_2026_03_12_225559_aging_time_rescaling_collapse","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_225559_aging_time_rescaling_collapse\reports\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_225842_aging_component_clock_test","run_2026_03_12_225842_aging_component_clock_test","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_225842_aging_component_clock_test\reports\report.md","YES","9","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_225857_aging_timescale_extraction","run_2026_03_12_225857_aging_timescale_extraction","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_225857_aging_timescale_extraction\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_230511_aging_time_rescaling_collapse","run_2026_03_12_230511_aging_time_rescaling_collapse","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_230511_aging_time_rescaling_collapse\reports\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_232904_aging_time_rescaling_collapse","run_2026_03_12_232904_aging_time_rescaling_collapse","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_232904_aging_time_rescaling_collapse\reports\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_233337_aging_time_rescaling_collapse","run_2026_03_12_233337_aging_time_rescaling_collapse","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_233337_aging_time_rescaling_collapse\reports\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_233710_aging_time_rescaling_collapse","run_2026_03_12_233710_aging_time_rescaling_collapse","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_233710_aging_time_rescaling_collapse\reports\report.md","YES","2","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_003251_aging_fm_using_dip_clock","run_2026_03_13_003251_aging_fm_using_dip_clock","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_003251_aging_fm_using_dip_clock\reports\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_003818_aging_fm_using_dip_clock","run_2026_03_13_003818_aging_fm_using_dip_clock","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_003818_aging_fm_using_dip_clock\reports\report.md","YES","0","YES","NO","","","","","","YES"
